Date,ADX_22Lcap,ADX_66Lcap,ADX_132Lcap,RSI_14Lcap,RSI_22Lcap,RSI_66Lcap,RSI_132Lcap,SMA_14Lcap,SMA_22Lcap,SMA_66Lcap,SMA_132Lcap,Rets_RollingWeeklyLcap,Rets_RollingMonthlyLcap,Rets_RollingQtlyLcap,Vol_30Lcap,ADX_22Mcap,ADX_66Mcap,ADX_132Mcap,RSI_14Mcap,RSI_22Mcap,RSI_66Mcap,RSI_132Mcap,SMA_14Mcap,SMA_22Mcap,SMA_66Mcap,SMA_132Mcap,Rets_RollingWeeklyMcap,Rets_RollingMonthlyMcap,Rets_RollingQtlyMcap,Vol_30Mcap
2008-10-08,21.789183328975884,15.522754290467237,11.31182299907394,26.45672466689359,32.01156227683178,41.33600192880908,45.70239455861595,2.38650244697568,3.0258151758688245,3.924666229698264,5.445285221678844,-0.1039350336384468,-0.19269120694316832,-0.10497359680475071,0.023995933544372492,27.86857213745054,16.391128803413164,8.4217836200983,17.18102378432298,23.440722637290893,36.975128507123706,43.553686844913656,3.7934188586213953,4.957829041948796,6.424065583483838,8.942219546318352,-0.1406956202949755,-0.2669585344630009,-0.16274527390053795,0.020871601986402567
2008-10-10,23.248681294564776,15.760592380400846,11.386402551676241,21.79261899484328,28.14275116945956,39.542581340868374,44.72622290925782,3.3076930405863374,3.9282957028915924,5.042307459180766,6.516996292374827,-0.16979055845804591,-0.26824396089218117,-0.18327939462851717,0.02630987582219047,29.513743451004686,16.69141992583944,8.519435062935651,14.149217024545857,20.450826333096632,35.27226241805591,42.6303522463197,4.707908317834845,5.848493040310049,7.601485895400111,10.032417933588931,-0.20727391904036807,-0.32432570925721815,-0.2410129879908286,0.023501667239704482
2008-10-13,24.61104458604116,15.991538965529623,11.45966827531818,33.22507092930789,35.506499749862385,41.852641107330726,45.77859565912241,1.8525381564124477,2.521385640535522,3.8271097612093032,5.287665098369208,-0.08579736884658762,-0.218855640655086,-0.13382135206653223,0.029502993620816122,30.946369510650143,16.97322899955699,8.6134673039193,25.05042795705848,27.831632838972798,37.508862011855996,43.55323034233628,3.056804053599859,4.215345593149266,6.209803936573527,8.579046645169571,-0.1380191402458253,-0.28179241042605596,-0.203794664355196,0.02672240597762933
2008-10-14,25.406855740877862,16.16409121511195,11.51978358238172,34.59068935308826,36.41185983899231,42.15029994164399,45.916200512193576,1.3963221455094263,2.1052380242824635,3.558118383043455,4.975881500753145,-0.02323488640567073,-0.2003522749062553,-0.1178122728138854,0.029530963847222227,31.78459485286459,17.19569747583979,8.695284538631494,27.714576611134884,29.674015810269395,38.09426086217114,43.79875959965042,2.269476024634548,3.4174719219814227,5.581323346078486,7.846647447245956,-0.07113359275802411,-0.26541030155311185,-0.190799150726779,0.027072479211086898
2008-10-15,26.387701638428997,16.37016878033665,11.589494863690499,30.288646763692352,33.25762359772034,40.783216397316465,45.17125922991092,1.9895377547719524,2.742898778771758,4.308036179460697,5.688926244868133,-0.07436371875184888,-0.22187258366040585,-0.1969402169974398,0.029659779705611337,32.75398702233039,17.443586659524343,8.784473432577807,24.732465641684787,27.368491606562607,36.986144224899256,43.2023338201103,2.6674229164387024,3.822613918520185,6.150581268670436,8.347014188255251,-0.09703249936170588,-0.29014011307966836,-0.2529255091567427,0.026972799599058774
2008-10-16,27.579314264467317,16.618829289211863,11.671789610803167,28.809414219709044,32.13948532738172,40.274752989301746,44.88993343884813,1.9142249552574295,2.7273593943767827,4.359437712916414,5.6802737053511425,-0.06954302799280987,-0.22683255145056513,-0.2145259969690948,0.02972104560550719,33.82032396840334,17.713182723909,8.880203676233517,24.637725100990853,27.29476722102955,36.94992783842684,43.18267118350182,2.1976740238104586,3.3736766872874626,5.816763187349883,7.932546863286795,-0.049029182896330625,-0.2797775854431722,-0.2545419116558154,0.02689461148976517
2008-10-17,28.77204967423735,16.87415212784808,11.756511123060102,25.086915649513664,29.234467047421713,38.88592874499696,44.10898377367364,2.3460240079467973,3.238509982639046,4.907081668532599,6.1571230732164155,-0.0626838386488694,-0.24516924761958536,-0.2407137323644727,0.029867478848708624,34.66967226344079,17.960401756009844,8.971331101787667,22.865530820650402,25.92046157408847,36.27236523728276,42.813780511793794,2.212752358266617,3.447505160464949,5.966968130963177,8.00304824982016,-0.007893886258121041,-0.27017154802409027,-0.259600539387261,0.026405097856066564
2008-10-20,29.910569838108753,17.125606438626175,11.840590805678728,27.590992218327486,30.861526189083875,39.413150792480884,44.35142194621678,1.819248083054773,2.783264284528435,4.563532299901293,5.804489409052233,-0.10539430701290753,-0.23364987517067792,-0.22697227849255652,0.030300709807240457,35.498030223000505,18.20686423751949,9.06260915931175,22.66100613925284,25.76213264949594,36.19384668546176,42.77088516617982,1.9695801391846965,3.3092123594416725,6.066797663663416,8.158537311648015,-0.06535621201010045,-0.2663248164731995,-0.25963934823223334,0.02636598562817413
2008-10-21,30.937086105388016,17.366682257868195,11.922521704623437,33.15816470003581,34.51127662765784,40.616686702507174,44.90855318514787,1.1448989802064158,2.176147878984298,4.124379012515532,5.391562950628797,-0.08064172562635341,-0.1929395865168715,-0.162181808156855,0.03142455163879053,36.12007031267743,18.431781788254384,9.149438504367058,28.3903229749378,29.508740117082898,37.33781636429103,43.24676994830817,1.2805634602269724,2.7015163083423355,5.7693264813518645,7.954510023618749,-0.05136793256765215,-0.23654187373410207,-0.20853761552383088,0.027506148448841177
2008-10-22,31.991927223173573,17.61726635163726,12.007628708765262,29.463947442491232,31.844503972197113,39.412886950584806,44.23285035431079,1.6869325048471657,2.8222509344576765,4.971251926944341,6.261165123662116,-0.08185058950192359,-0.24095192687999745,-0.19691095932164382,0.03147583814502962,36.76772404365224,18.66169566864683,9.237936861722783,25.89008921392714,27.73380065258072,36.532765824765804,42.81254325780626,1.6411501172810985,3.200209237410494,6.608541181053354,8.884895477483703,-0.040932788106864404,-0.25441582535612706,-0.22460665849889538,0.02754236434457257
