,title
128,Civilian Labor Force Level
129,Civilian Labor Force Level
130,Global Price Index of All Commodities
131,Manufacturers' New Orders: Durable Goods
132,Manufacturers' New Orders: Durable Goods
133,Population
134,"Unemployment Rate - 20 Yrs. & over, Black or African American Men"
135,"Unemployment Rate - 20 Yrs. & over, Black or African American Men"
136,Quits: Total Nonfarm
137,Quits: Total Nonfarm
138,Quits: Total Nonfarm
139,Quits: Total Nonfarm
140,10-Year Treasury Constant Maturity Minus Federal Funds Rate
141,"Total Assets, All Commercial Banks"
142,"Total Assets, All Commercial Banks"
143,"Total Assets, All Commercial Banks"
144,Real Disposable Personal Income: Per Capita
145,Motor Vehicle Retail Sales: Heavy Weight Trucks
146,Motor Vehicle Retail Sales: Heavy Weight Trucks
147,Motor Vehicle Retail Sales: Heavy Weight Trucks
148,Real M2 Money Stock
149,Reserves of Depository Institutions: Total
150,Employment Level
151,Employment Level
152,"Loans and Leases in Bank Credit, All Commercial Banks"
153,"Loans and Leases in Bank Credit, All Commercial Banks"
154,"Loans and Leases in Bank Credit, All Commercial Banks"
155,Trimmed Mean PCE Inflation Rate
156,Trimmed Mean PCE Inflation Rate
157,Trimmed Mean PCE Inflation Rate
158,"Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private"
159,"Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private"
160,U.S. / U.K. Foreign Exchange Rate
161,"All Employees, Manufacturing"
162,"All Employees, Manufacturing"
163,Spot Crude Oil Price: West Texas Intermediate (WTI)
164,New One Family Houses Sold: United States
165,New One Family Houses Sold: United States
166,Market Yield on U.S. Treasury Securities at 3-Year Constant Maturity
167,Personal Consumption Expenditures: Durable Goods
168,Henry Hub Natural Gas Spot Price
169,Global price of Copper
170,"Producer Price Index by Commodity: Metals and Metal Products: Steel Wire, Stainless Steel"
171,10-Year High Quality Market (HQM) Corporate Bond Spot Rate
172,Retailers: Inventories to Sales Ratio
173,Retailers: Inventories to Sales Ratio
174,30-year Breakeven Inflation Rate
175,Disposable Personal Income
176,Canada / U.S. Foreign Exchange Rate
177,"Trade Balance: Goods and Services, Balance of Payments Basis"
178,Advance Retail Sales: Retail Trade and Food Services
179,Advance Retail Sales: Retail Trade and Food Services
180,Advance Retail Sales: Retail Trade and Food Services
181,Advance Retail Sales: Retail Trade and Food Services
182,S&P/Case-Shiller CA-Los Angeles Home Price Index
183,S&P/Case-Shiller CA-Los Angeles Home Price Index
184,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average
185,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average
186,Producer Price Index by Commodity: Lumber and Wood Products: Softwood Lumber
187,Producer Price Index by Commodity: Lumber and Wood Products: Softwood Lumber
188,Vehicle Miles Traveled
189,Vehicle Miles Traveled
190,Vehicle Miles Traveled
191,Vehicle Miles Traveled
192,Existing Home Sales: Housing Inventory
193,S&P/Case-Shiller CA-San Francisco Home Price Index
194,S&P/Case-Shiller CA-San Francisco Home Price Index
195,Producer Price Index by Commodity: Lumber and Wood Products: Plywood
196,"Bank Credit, All Commercial Banks"
197,"Bank Credit, All Commercial Banks"
198,"Bank Credit, All Commercial Banks"
199,Personal Saving
200,1-Year Treasury Bill Secondary Market Rate
201,Labor Force Participation Rate - 25-54 Yrs.
202,Labor Force Participation Rate - 25-54 Yrs.
203,90-Day AA Nonfinancial Commercial Paper Interest Rate
204,Sticky Price Consumer Price Index less Food and Energy
205,Sticky Price Consumer Price Index less Food and Energy
206,Sticky Price Consumer Price Index less Food and Energy
207,Sticky Price Consumer Price Index less Food and Energy
